code,name,descr,lang_code,is_active,cr_by,cr_dtimes
DOC001,Voter ID,Voter ID,eng,TRUE,superadmin,now()
DOC002,Birth Certificate,Birth Certificate,eng,TRUE,superadmin,now()
DOC003,Ration Card,Ration Card,eng,TRUE,superadmin,now()
DOC004,Marriage Certificate,Marriage Certificate,eng,TRUE,superadmin,now()
DOC005,Driving Licence,Driving Licence,eng,TRUE,superadmin,now()
DOC006,Medical Certificate,Medical Certificate,eng,TRUE,superadmin,now()
DOC007,Electricity Bill,Electricity Bill,eng,TRUE,superadmin,now()
DOC008,Telephone Bill,Telephone Bill,eng,TRUE,superadmin,now()
DOC009,Matriculation Certificate,Matriculation Certificate,eng,TRUE,superadmin,now()
DOC010,Others,Others,eng,TRUE,superadmin,now()
