code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
IN,India,0,country,,eng,TRUE,superadmin,now()
KAR,Karnataka,1,state,IN,eng,TRUE,superadmin,now()
TN,Tamilnadu,1,state,IN,eng,TRUE,superadmin,now()
BLR,Bengaluru,2,city,KAR,eng,TRUE,superadmin,now()
MYS,Mysuru,2,city,KAR,eng,TRUE,superadmin,now()
CHN,Chennai,2,city,TN,eng,TRUE,superadmin,now()
CBE,Coimbatore,2,city,TN,eng,TRUE,superadmin,now()
10001,Electronics City,3,locality,BLR,eng,TRUE,superadmin,now()
10002,White Field,3,locality,BLR,eng,TRUE,superadmin,now()
10003,Mysore Palace,3,locality,MYS,eng,TRUE,superadmin,now()
10004,Chamundi Hills,3,locality,MYS,eng,TRUE,superadmin,now()
10005,Fort St. George,3,locality,CHN,eng,TRUE,superadmin,now()
10006,Red Hills,3,locality,CHN,eng,TRUE,superadmin,now()
10007,Peelamedu,3,locality,CBE,eng,TRUE,superadmin,now()
10008,Race Course,3,locality,CBE,eng,TRUE,superadmin,now()
