code,name,descr,rsncat_code,lang_code,is_active,cr_by,cr_dtimes
APM,Age-Photo Mismatch,Mismatch between the Age and Photo,CLR,eng,TRUE,superadmin,now()
GPM,Gender-Photo Mismatch,Gender-Photo Mismatch between Gender and Photo,CLR,eng,TRUE,superadmin,now()
IAD,Invalid Address,Invalid Address found,CLR,eng,TRUE,superadmin,now()
DPG,Duplicate Registration,Duplicate Registration found,CLR,eng,TRUE,superadmin,now()
OTH,Others,Others,CLR,eng,TRUE,superadmin,now()
ADM,All the Details are matching,All the Details are matching,MNA,eng,TRUE,superadmin,now()
ADD,All the Demographic Details are Matching,All the Demographic Details are Matching,MNA,eng,TRUE,superadmin,now()
OPM,Only the Photograph is Matching,Only the Photograph is Matching,MNA,eng,TRUE,superadmin,now()
SDM,Some of the Demographic Details are Matching,Some of the Demographic Details are Matching,MNA,eng,TRUE,superadmin,now()
